Variation, Phi(rad), Theta(rad), rEphi(mag ang),rEtheta(mag ang)
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-3.141592653589793e+00,0.000000000000000e+00,6.240843312494124e-02 -8.916640452308251e-01,2.207381769240819e-02 -6.064488133719989e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-3.106686068549906e+00,0.000000000000000e+00,6.163155350933339e-02 -8.951809686911546e-01,2.415817800775148e-02 -6.318183990367249e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-3.071779483510020e+00,0.000000000000000e+00,6.078036759125865e-02 -8.987920970182971e-01,2.622618668620048e-02 -6.531705725873596e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-3.036872898470133e+00,0.000000000000000e+00,5.985594576831243e-02 -9.025103488141708e-01,2.827245494838977e-02 -6.714151513265608e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-3.001966313430247e+00,0.000000000000000e+00,5.885945271940458e-02 -9.063499486584452e-01,3.029242113466709e-02 -6.872104909299555e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.967059728390360e+00,0.000000000000000e+00,5.779214667694310e-02 -9.103266640828837e-01,3.228209620050394e-02 -7.010438150681243e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.932153143350474e+00,0.000000000000000e+00,5.665537872977697e-02 -9.144580872184751e-01,3.423790317197282e-02 -7.132829400941657e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.897246558310587e+00,0.000000000000000e+00,5.545059219127126e-02 -9.187639721689707e-01,3.615657309902540e-02 -7.242104859524359e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.862339973270700e+00,0.000000000000000e+00,5.417932207640475e-02 -9.232666422609143e-01,3.803507607418614e-02 -7.340470600586467e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.827433388230814e+00,0.000000000000000e+00,5.284319474445119e-02 -9.279914854419089e-01,3.987057463628865e-02 -7.429673175458791e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.792526803190927e+00,0.000000000000000e+00,5.144392778074882e-02 -9.329675616376606e-01,4.166039182625374e-02 -7.511113101539152e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.757620218151041e+00,0.000000000000000e+00,4.998333021400506e-02 -9.382283533872956e-01,4.340198904826427e-02 -7.585926517212727e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.722713633111154e+00,0.000000000000000e+00,4.846330319705654e-02 -9.438127013632214e-01,4.509295062266428e-02 -7.655044902898105e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.687807048071268e+00,0.000000000000000e+00,4.688584132258816e-02 -9.497659806274396e-01,4.673097298474561e-02 -7.719239417692070e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.652900463031381e+00,0.000000000000000e+00,4.525303480653557e-02 -9.561415934368521e-01,4.831385715740850e-02 -7.779154268081251e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.617993877991494e+00,0.000000000000000e+00,4.356707285901840e-02 -9.630028827361763e-01,4.983950356017777e-02 -7.835332139657625e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.583087292951608e+00,0.000000000000000e+00,4.183024868836339e-02 -9.704256112215173e-01,5.130590850280000e-02 -7.888233805866414e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.548180707911721e+00,0.000000000000000e+00,4.004496676809966e-02 -9.785012103340899e-01,5.271116190305226e-02 -7.938253410494487e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.513274122871834e+00,0.000000000000000e+00,3.821375327155556e-02 -9.873410917416360e-01,5.405344589874576e-02 -7.985730498318848e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.478367537831948e+00,0.000000000000000e+00,3.633927099560220e-02 -9.970824469137703e-01,5.533103411410372e-02 -8.030959575161665e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.443460952792061e+00,0.000000000000000e+00,3.442434074046988e-02 -1.007896164842732e+00,5.654229140397420e-02 -8.074197772267324e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.408554367752175e+00,0.000000000000000e+00,3.247197213307623e-02 -1.019997818467422e+00,5.768567394437391e-02 -8.115671042827276e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.373647782712288e+00,0.000000000000000e+00,3.048540853348922e-02 -1.033663183819018e+00,5.875972957029493e-02 -8.155579212398976e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924'",-2.338741197672402e+00,0.000000000000000e+00,2.846819340885056e-02 -1.049250597984659e+00,5.976309828534839e-02 -8.194100127582656e-01
