Variation, Phi(rad), Theta(rad), rEphi(mag ang),rEtheta(mag ang)
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-3.141592653589793e+00,0.000000000000000e+00,1.514370514495383e-02 1.800305176841835e+00,9.512481730177133e-02 -4.157139048833031e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-3.106686068549906e+00,0.000000000000000e+00,1.733505728378024e-02 1.953917214938430e+00,9.474997868696769e-02 -4.112573236201247e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-3.071779483510020e+00,0.000000000000000e+00,1.981952281445497e-02 2.071096057404045e+00,9.426159975101280e-02 -4.067599301386854e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-3.036872898470133e+00,0.000000000000000e+00,2.249021797799559e-02 2.161331263889189e+00,9.366030518589552e-02 -4.022102122054791e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-3.001966313430247e+00,0.000000000000000e+00,2.527732114261098e-02 2.232046118605746e+00,9.294686497169295e-02 -3.975961379913064e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.967059728390360e+00,0.000000000000000e+00,2.813474812498452e-02 2.288556787266579e+00,9.212219396082796e-02 -3.929050246764723e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.932153143350474e+00,0.000000000000000e+00,3.103110719629175e-02 2.334581001150594e+00,9.118735141665726e-02 -3.881233928889503e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.897246558310587e+00,0.000000000000000e+00,3.394414196396316e-02 2.372724151224734e+00,9.014354052589087e-02 -3.832368033129563e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.862339973270700e+00,0.000000000000000e+00,3.685739277308152e-02 2.404835499588378e+00,8.899210790954111e-02 -3.782296711083758e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.827433388230814e+00,0.000000000000000e+00,3.975817661958884e-02 2.432249769188861e+00,8.773454316344435e-02 -3.730850528825065e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.792526803190927e+00,0.000000000000000e+00,4.263634172418208e-02 2.455947546039831e+00,8.637247846734128e-02 -3.677843997948635e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.757620218151041e+00,0.000000000000000e+00,4.548348203264027e-02 2.476661870191486e+00,8.490768831147835e-02 -3.623072688802815e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.722713633111154e+00,0.000000000000000e+00,4.829243011338057e-02 2.494949810369090e+00,8.334208940239538e-02 -3.566309827382950e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.687807048071268e+00,0.000000000000000e+00,5.105692240800914e-02 2.511241227636146e+00,8.167774082597534e-02 -3.507302252199773e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.652900463031381e+00,0.000000000000000e+00,5.377137367275752e-02 2.525872533192602e+00,7.991684456707153e-02 -3.445765574522039e-01
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx='1' Ty='0' Tz='0'",-2.617993877991494e+00,0.000000000000000e+00,5.643072216048863e-02 2.539110439230005e+00,7.806174651299107e-02 -3.381378342079422e-01
