Variation, Phi(rad), Theta(rad), rEphi(mag ang),rEtheta(mag ang)
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx_2='0.5' Ty_2='0'",-3.141592653589793e+00,0.000000000000000e+00,1.252226375837722e-01 -2.049164441539340e+00,3.321660521689861e-02 -2.068818818304546e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx_2='0.5' Ty_2='0'",-3.106686068549906e+00,0.000000000000000e+00,1.239873385226566e-01 -2.048980691098667e+00,3.756583170435406e-02 -2.066532478925060e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx_2='0.5' Ty_2='0'",-3.071779483510020e+00,0.000000000000000e+00,1.226009842615895e-01 -2.048793011407660e+00,4.186944570520664e-02 -2.064718640533834e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx_2='0.5' Ty_2='0'",-3.036872898470133e+00,0.000000000000000e+00,1.210652640064242e-01 -2.048600801812441e+00,4.612216036381947e-02 -2.063241295703720e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx_2='0.5' Ty_2='0'",-3.001966313430247e+00,0.000000000000000e+00,1.193820489662424e-01 -2.048403409610077e+00,5.031876598439455e-02 -2.062012020680362e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx_2='0.5' Ty_2='0'",-2.967059728390360e+00,0.000000000000000e+00,1.175533900764022e-01 -2.048200120372020e+00,5.445413030354817e-02 -2.060970835826134e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx_2='0.5' Ty_2='0'",-2.932153143350474e+00,0.000000000000000e+00,1.155815155032240e-01 -2.047990146608675e+00,5.852320137816166e-02 -2.060075615924902e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx_2='0.5' Ty_2='0'",-2.897246558310587e+00,0.000000000000000e+00,1.134688279334638e-01 -2.047772614373843e+00,6.252101177185784e-02 -2.059295903341878e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx_2='0.5' Ty_2='0'",-2.862339973270700e+00,0.000000000000000e+00,1.112179016520434e-01 -2.047546547301793e+00,6.644268340221669e-02 -2.058609126812986e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx_2='0.5' Ty_2='0'",-2.827433388230814e+00,0.000000000000000e+00,1.088314794117862e-01 -2.047310847430238e+00,7.028343271790699e-02 -2.057998201007544e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx_2='0.5' Ty_2='0'",-2.792526803190927e+00,0.000000000000000e+00,1.063124690992638e-01 -2.047064271977904e+00,7.403857602350605e-02 -2.057449952357165e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx_2='0.5' Ty_2='0'",-2.757620218151041e+00,0.000000000000000e+00,1.036639402011415e-01 -2.046805404996395e+00,7.770353484587739e-02 -2.056954057326683e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx_2='0.5' Ty_2='0'",-2.722713633111154e+00,0.000000000000000e+00,1.008891200757954e-01 -2.046532622480421e+00,8.127384127689362e-02 -2.056502308509571e+00
"Freq='0.433GHz', dipole_R='5mm' f='433MHz' h='0.34618066743648962' lambda='0.69236133487297924' Tx_2='0.5' Ty_2='0'",-2.687807048071268e+00,0.000000000000000e+00,9.799139003534729e-02 -2.046244049061335e+00,8.474514325028003e-02 -2.056088096220649e+00
