Phi[deg],Theta[deg],dB(DirTotal)
-180,0,-3.37296
-178,0,-3.37296
-176,0,-3.37296
-174,0,-3.37296
-172,0,-3.37296
-170,0,-3.37296
-168,0,-3.37296
-166,0,-3.37296
-164,0,-3.37296
-162,0,-3.37296
-160,0,-3.37296
-158,0,-3.37296
-156,0,-3.37296
-154,0,-3.37296
-152,0,-3.37296
-150,0,-3.37296
-148,0,-3.37296
-146,0,-3.37296
-144,0,-3.37296
-142,0,-3.37296
-140,0,-3.37296
-138,0,-3.37296
-136,0,-3.37296
-134,0,-3.37296
-132,0,-3.37296
-130,0,-3.37296
-128,0,-3.37296
-126,0,-3.37296
-124,0,-3.37296
-122,0,-3.37296
-120,0,-3.37296
-118,0,-3.37296
-116,0,-3.37296
-114,0,-3.37296
-112,0,-3.37296
-110,0,-3.37296
-108,0,-3.37296
-106,0,-3.37296
-104,0,-3.37296
-102,0,-3.37296
-100,0,-3.37296
-98,0,-3.37296
-96,0,-3.37296
-94,0,-3.37296
-92,0,-3.37296
-90,0,-3.37296
-88,0,-3.37296
-86,0,-3.37296
-84,0,-3.37296
-82,0,-3.37296
-80,0,-3.37296
-78,0,-3.37296
-76,0,-3.37296
-74,0,-3.37296
-72,0,-3.37296
-70,0,-3.37296
-68,0,-3.37296
-66,0,-3.37296
-64,0,-3.37296
-62,0,-3.37296
-60,0,-3.37296
-58,0,-3.37296
-56,0,-3.37296
-54,0,-3.37296
-52,0,-3.37296
-50,0,-3.37296
-48,0,-3.37296
-46,0,-3.37296
-44,0,-3.37296
-42,0,-3.37296
-40,0,-3.37296
-38,0,-3.37296
-36,0,-3.37296
-34,0,-3.37296
-32,0,-3.37296
-30,0,-3.37296
-28,0,-3.37296
-26,0,-3.37296
-24,0,-3.37296
-22,0,-3.37296
-20,0,-3.37296
-18,0,-3.37296
-16,0,-3.37296
-14,0,-3.37296
-12,0,-3.37296
-10,0,-3.37296
-8,0,-3.37296
-6,0,-3.37296
-4,0,-3.37296
-2,0,-3.37296
0,0,-3.37296
2,0,-3.37296
4,0,-3.37296
6,0,-3.37296
8,0,-3.37296
10,0,-3.37296
