Phi[deg],Theta[deg],rETotal[mV]
-180,0,9094.4
-178,0,9094.4
-176,0,9094.4
-174,0,9094.4
-172,0,9094.4
-170,0,9094.4
-168,0,9094.4
-166,0,9094.4
-164,0,9094.4
-162,0,9094.4
-160,0,9094.4
-158,0,9094.4
-156,0,9094.4
-154,0,9094.4
-152,0,9094.4
-150,0,9094.4
-148,0,9094.4
-146,0,9094.4
-144,0,9094.4
-142,0,9094.4
-140,0,9094.4
-138,0,9094.4
-136,0,9094.4
-134,0,9094.4
-132,0,9094.4
-130,0,9094.4
-128,0,9094.4
-126,0,9094.4
-124,0,9094.4
-122,0,9094.4
-120,0,9094.4
-118,0,9094.4
-116,0,9094.4
-114,0,9094.4
-112,0,9094.4
-110,0,9094.4
-108,0,9094.4
-106,0,9094.4
-104,0,9094.4
-102,0,9094.4
-100,0,9094.4
-98,0,9094.4
-96,0,9094.4
-94,0,9094.4
-92,0,9094.4
-90,0,9094.4
-88,0,9094.4
-86,0,9094.4
-84,0,9094.4
-82,0,9094.4
-80,0,9094.4
-78,0,9094.4
-76,0,9094.4
-74,0,9094.4
-72,0,9094.4
-70,0,9094.4
-68,0,9094.4
-66,0,9094.4
-64,0,9094.4
-62,0,9094.4
-60,0,9094.4
-58,0,9094.4
-56,0,9094.4
-54,0,9094.4
-52,0,9094.4
-50,0,9094.4
-48,0,9094.4
-46,0,9094.4
-44,0,9094.4
-42,0,9094.4
-40,0,9094.4
-38,0,9094.4
-36,0,9094.4
-34,0,9094.4
-32,0,9094.4
-30,0,9094.4
-28,0,9094.4
-26,0,9094.4
-24,0,9094.4
-22,0,9094.4
-20,0,9094.4
-18,0,9094.4
-16,0,9094.4
-14,0,9094.4
-12,0,9094.4
-10,0,9094.4
-8,0,9094.4
-6,0,9094.4
-4,0,9094.4
-2,0,9094.4
0,0,9094.4
2,0,9094.4
4,0,9094.4
6,0,9094.4
8,0,9094.4
10,0,9094.4
12,0,9094.4
14,0,9094.4
16,0,9094.4
18,0,9094.4
20,0,9094.4
22,0,9094.4
24,0,9094.4
26,0,9094.4
28,0,9094.4
30,0,9094.4
32,0,9094.4
34,0,9094.4
36,0,9094.4
38,0,9094.4
40,0,9094.4
42,0,9094.4
44,0,9094.4
46,0,9094.4
48,0,9094.4
50,0,9094.4
52,0,9094.4
54,0,9094.4
56,0,9094.4
58,0,9094.4
60,0,9094.4
62,0,9094.4
64,0,9094.4
66,0,9094.4
68,0,9094.4
70,0,9094.4
72,0,9094.4
74,0,9094.4
76,0,9094.4
78,0,9094.4
80,0,9094.4
82,0,9094.4
84,0,9094.4
86,0,9094.4
88,0,9094.4
90,0,9094.4
92,0,9094.4
94,0,9094.4
96,0,9094.4
98,0,9094.4
100,0,9094.4
102,0,9094.4
104,0,9094.4
106,0,9094.4
108,0,9094.4
110,0,9094.4
112,0,9094.4
114,0,9094.4
116,0,9094.4
118,0,9094.4
120,0,9094.4
122,0,9094.4
124,0,9094.4
126,0,9094.4
128,0,9094.4
130,0,9094.4
132,0,9094.4
134,0,9094.4
136,0,9094.4
138,0,9094.4
140,0,9094.4
142,0,9094.4
144,0,9094.4
146,0,9094.4
148,0,9094.4
150,0,9094.4
152,0,9094.4
154,0,9094.4
156,0,9094.4
158,0,9094.4
160,0,9094.4
162,0,9094.4
164,0,9094.4
166,0,9094.4
168,0,9094.4
170,0,9094.4
172,0,9094.4
174,0,9094.4
176,0,9094.4
178,0,9094.4
180,0,9094.4
-180,2,9093.43
-178,2,9093.38
-176,2,9093.31
-174,2,9093.23
-172,2,9093.12
-170,2,9092.99
-168,2,9092.84
-166,2,9092.68
-164,2,9092.49
-162,2,9092.29
-160,2,9092.08
-158,2,9091.85
-156,2,9091.6
-154,2,9091.34
-152,2,9091.07
-150,2,9090.79
-148,2,9090.5
-146,2,9090.21
-144,2,9089.9
-142,2,9089.59
-140,2,9089.28
-138,2,9088.96
-136,2,9088.65
-134,2,9088.33
-132,2,9088.02
-130,2,9087.71
-128,2,9087.4
-126,2,9087.11
-124,2,9086.82
-122,2,9086.54
-120,2,9086.27
-118,2,9086.01
-116,2,9085.76
-114,2,9085.53
-112,2,9085.32
-110,2,9085.12
-108,2,9084.94
-106,2,9084.78
-104,2,9084.64
-102,2,9084.51
-100,2,9084.41
-98,2,9084.33
-96,2,9084.27
-94,2,9084.24
-92,2,9084.22
-90,2,9084.23
-88,2,9084.26
-86,2,9084.31
-84,2,9084.39
-82,2,9084.48
-80,2,9084.6
-78,2,9084.74
-76,2,9084.9
-74,2,9085.08
-72,2,9085.28
-70,2,9085.5
-68,2,9085.73
-66,2,9085.98
-64,2,9086.25
-62,2,9086.52
-60,2,9086.82
-58,2,9087.12
-56,2,9087.43
-54,2,9087.75
-52,2,9088.08
-50,2,9088.42
-48,2,9088.76
-46,2,9089.1
-44,2,9089.44
-42,2,9089.78
-40,2,9090.12
-38,2,9090.46
-36,2,9090.79
-34,2,9091.12
-32,2,9091.44
-30,2,9091.75
-28,2,9092.05
-26,2,9092.33
-24,2,9092.61
-22,2,9092.87
-20,2,9093.11
-18,2,9093.34
-16,2,9093.55
-14,2,9093.75
-12,2,9093.92
-10,2,9094.07
-8,2,9094.21
-6,2,9094.32
-4,2,9094.41
-2,2,9094.48
0,2,9094.53
2,2,9094.56
4,2,9094.56
6,2,9094.55
8,2,9094.51
10,2,9094.45
12,2,9094.37
14,2,9094.27
16,2,9094.15
18,2,9094.01
20,2,9093.85
22,2,9093.68
24,2,9093.49
26,2,9093.28
28,2,9093.06
30,2,9092.83
32,2,9092.59
34,2,9092.33
36,2,9092.07
38,2,9091.79
40,2,9091.51
42,2,9091.23
44,2,9090.94
46,2,9090.65
48,2,9090.36
50,2,9090.07
52,2,9089.79
54,2,9089.5
56,2,9089.22
58,2,9088.95
60,2,9088.69
62,2,9088.43
64,2,9088.19
66,2,9087.95
68,2,9087.73
70,2,9087.53
72,2,9087.33
74,2,9087.16
76,2,9087
78,2,9086.85
80,2,9086.73
82,2,9086.62
84,2,9086.54
86,2,9086.47
88,2,9086.42
90,2,9086.39
92,2,9086.38
94,2,9086.39
96,2,9086.42
98,2,9086.47
100,2,9086.54
102,2,9086.63
104,2,9086.73
106,2,9086.86
108,2,9087
110,2,9087.15
112,2,9087.32
114,2,9087.51
116,2,9087.71
118,2,9087.92
120,2,9088.14
122,2,9088.37
124,2,9088.61
126,2,9088.86
128,2,9089.11
130,2,9089.37
132,2,9089.63
134,2,9089.89
136,2,9090.15
138,2,9090.42
140,2,9090.67
142,2,9090.93
144,2,9091.18
146,2,9091.42
148,2,9091.66
150,2,9091.88
152,2,9092.09
154,2,9092.3
156,2,9092.49
158,2,9092.66
160,2,9092.82
162,2,9092.97
164,2,9093.09
166,2,9093.2
168,2,9093.29
170,2,9093.37
172,2,9093.42
174,2,9093.45
176,2,9093.47
178,2,9093.46
180,2,9093.43
-180,4,9091.64
-178,4,9091.52
-176,4,9091.32
-174,4,9091.04
-172,4,9090.67
-170,4,9090.23
-168,4,9089.71
-166,4,9089.11
-164,4,9088.44
-162,4,9087.71
-160,4,9086.9
-158,4,9086.04
-156,4,9085.11
-154,4,9084.13
-152,4,9083.11
-150,4,9082.03
-148,4,9080.92
-146,4,9079.78
-144,4,9078.6
-142,4,9077.4
-140,4,9076.18
-138,4,9074.96
-136,4,9073.72
-134,4,9072.49
-132,4,9071.26
-130,4,9070.04
-128,4,9068.84
-126,4,9067.67
-124,4,9066.52
-122,4,9065.41
-120,4,9064.34
-118,4,9063.31
-116,4,9062.33
-114,4,9061.41
-112,4,9060.55
-110,4,9059.75
-108,4,9059.01
-106,4,9058.35
-104,4,9057.77
-102,4,9057.26
-100,4,9056.83
-98,4,9056.48
-96,4,9056.22
-94,4,9056.04
-92,4,9055.95
-90,4,9055.94
-88,4,9056.02
-86,4,9056.19
-84,4,9056.44
-82,4,9056.78
-80,4,9057.2
-78,4,9057.71
-76,4,9058.29
-74,4,9058.95
-72,4,9059.68
-70,4,9060.49
-68,4,9061.36
-66,4,9062.29
-64,4,9063.28
-62,4,9064.32
-60,4,9065.42
-58,4,9066.55
-56,4,9067.73
-54,4,9068.94
-52,4,9070.18
-50,4,9071.43
-48,4,9072.71
-46,4,9073.99
-44,4,9075.28
-42,4,9076.57
-40,4,9077.84
-38,4,9079.11
-36,4,9080.35
-34,4,9081.57
-32,4,9082.76
-30,4,9083.91
-28,4,9085.02
-26,4,9086.08
-24,4,9087.09
-22,4,9088.05
-20,4,9088.94
-18,4,9089.77
-16,4,9090.53
-14,4,9091.22
-12,4,9091.83
-10,4,9092.36
-8,4,9092.82
-6,4,9093.19
-4,4,9093.48
-2,4,9093.68
0,4,9093.8
2,4,9093.84
4,4,9093.78
6,4,9093.64
8,4,9093.42
10,4,9093.12
12,4,9092.73
14,4,9092.27
16,4,9091.73
18,4,9091.11
20,4,9090.42
22,4,9089.67
24,4,9088.86
26,4,9087.98
28,4,9087.05
30,4,9086.07
32,4,9085.05
34,4,9083.99
36,4,9082.89
38,4,9081.77
40,4,9080.62
42,4,9079.45
44,4,9078.27
46,4,9077.09
48,4,9075.91
50,4,9074.73
52,4,9073.56
54,4,9072.42
56,4,9071.29
58,4,9070.2
60,4,9069.13
62,4,9068.11
64,4,9067.13
66,4,9066.2
68,4,9065.33
70,4,9064.51
72,4,9063.76
74,4,9063.07
76,4,9062.44
78,4,9061.89
80,4,9061.42
82,4,9061.02
84,4,9060.7
86,4,9060.46
88,4,9060.3
90,4,9060.22
92,4,9060.23
94,4,9060.31
96,4,9060.48
98,4,9060.73
100,4,9061.05
102,4,9061.45
104,4,9061.93
106,4,9062.48
108,4,9063.1
110,4,9063.79
112,4,9064.54
114,4,9065.34
116,4,9066.2
118,4,9067.12
120,4,9068.07
122,4,9069.07
124,4,9070.1
