Phi[deg],Theta[deg],rETotal[mV]
-180,0,6169.47
-178,0,6169.47
-176,0,6169.47
-174,0,6169.47
-172,0,6169.47
-170,0,6169.47
-168,0,6169.47
-166,0,6169.47
-164,0,6169.47
-162,0,6169.47
-160,0,6169.47
-158,0,6169.47
-156,0,6169.47
-154,0,6169.47
-152,0,6169.47
-150,0,6169.47
-148,0,6169.47
-146,0,6169.47
-144,0,6169.47
-142,0,6169.47
-140,0,6169.47
-138,0,6169.47
-136,0,6169.47
-134,0,6169.47
-132,0,6169.47
-130,0,6169.47
-128,0,6169.47
-126,0,6169.47
-124,0,6169.47
-122,0,6169.47
-120,0,6169.47
-118,0,6169.47
-116,0,6169.47
-114,0,6169.47
-112,0,6169.47
-110,0,6169.47
-108,0,6169.47
-106,0,6169.47
-104,0,6169.47
-102,0,6169.47
-100,0,6169.47
-98,0,6169.47
-96,0,6169.47
-94,0,6169.47
-92,0,6169.47
-90,0,6169.47
-88,0,6169.47
-86,0,6169.47
-84,0,6169.47
-82,0,6169.47
-80,0,6169.47
-78,0,6169.47
-76,0,6169.47
-74,0,6169.47
-72,0,6169.47
-70,0,6169.47
-68,0,6169.47
-66,0,6169.47
-64,0,6169.47
-62,0,6169.47
-60,0,6169.47
-58,0,6169.47
-56,0,6169.47
-54,0,6169.47
-52,0,6169.47
-50,0,6169.47
-48,0,6169.47
-46,0,6169.47
-44,0,6169.47
-42,0,6169.47
-40,0,6169.47
-38,0,6169.47
-36,0,6169.47
-34,0,6169.47
-32,0,6169.47
-30,0,6169.47
-28,0,6169.47
-26,0,6169.47
-24,0,6169.47
-22,0,6169.47
-20,0,6169.47
-18,0,6169.47
-16,0,6169.47
-14,0,6169.47
-12,0,6169.47
-10,0,6169.47
-8,0,6169.47
-6,0,6169.47
-4,0,6169.47
-2,0,6169.47
0,0,6169.47
2,0,6169.47
4,0,6169.47
6,0,6169.47
8,0,6169.47
10,0,6169.47
12,0,6169.47
14,0,6169.47
16,0,6169.47
18,0,6169.47
20,0,6169.47
22,0,6169.47
24,0,6169.47
26,0,6169.47
28,0,6169.47
30,0,6169.47
32,0,6169.47
34,0,6169.47
36,0,6169.47
38,0,6169.47
40,0,6169.47
42,0,6169.47
44,0,6169.47
46,0,6169.47
48,0,6169.47
50,0,6169.47
52,0,6169.47
54,0,6169.47
56,0,6169.47
58,0,6169.47
60,0,6169.47
62,0,6169.47
64,0,6169.47
66,0,6169.47
68,0,6169.47
70,0,6169.47
72,0,6169.47
74,0,6169.47
