Phi[deg],Theta[deg],dB(DirTotal)
-180,0,2.27525
-178,0,2.27525
-176,0,2.27525
-174,0,2.27525
-172,0,2.27525
-170,0,2.27525
-168,0,2.27525
-166,0,2.27525
-164,0,2.27525
-162,0,2.27525
-160,0,2.27525
-158,0,2.27525
-156,0,2.27525
-154,0,2.27525
-152,0,2.27525
-150,0,2.27525
-148,0,2.27525
-146,0,2.27525
-144,0,2.27525
-142,0,2.27525
-140,0,2.27525
-138,0,2.27525
-136,0,2.27525
-134,0,2.27525
-132,0,2.27525
-130,0,2.27525
-128,0,2.27525
-126,0,2.27525
-124,0,2.27525
-122,0,2.27525
-120,0,2.27525
-118,0,2.27525
-116,0,2.27525
-114,0,2.27525
-112,0,2.27525
-110,0,2.27525
-108,0,2.27525
-106,0,2.27525
-104,0,2.27525
-102,0,2.27525
-100,0,2.27525
-98,0,2.27525
-96,0,2.27525
-94,0,2.27525
-92,0,2.27525
-90,0,2.27525
-88,0,2.27525
-86,0,2.27525
-84,0,2.27525
-82,0,2.27525
-80,0,2.27525
-78,0,2.27525
-76,0,2.27525
-74,0,2.27525
-72,0,2.27525
-70,0,2.27525
-68,0,2.27525
-66,0,2.27525
-64,0,2.27525
-62,0,2.27525
-60,0,2.27525
-58,0,2.27525
-56,0,2.27525
-54,0,2.27525
-52,0,2.27525
-50,0,2.27525
-48,0,2.27525
-46,0,2.27525
-44,0,2.27525
-42,0,2.27525
-40,0,2.27525
-38,0,2.27525
-36,0,2.27525
-34,0,2.27525
-32,0,2.27525
-30,0,2.27525
-28,0,2.27525
-26,0,2.27525
-24,0,2.27525
-22,0,2.27525
-20,0,2.27525
-18,0,2.27525
-16,0,2.27525
-14,0,2.27525
-12,0,2.27525
-10,0,2.27525
-8,0,2.27525
-6,0,2.27525
-4,0,2.27525
-2,0,2.27525
0,0,2.27525
2,0,2.27525
4,0,2.27525
6,0,2.27525
8,0,2.27525
10,0,2.27525
12,0,2.27525
14,0,2.27525
16,0,2.27525
18,0,2.27525
20,0,2.27525
22,0,2.27525
24,0,2.27525
26,0,2.27525
28,0,2.27525
30,0,2.27525
32,0,2.27525
34,0,2.27525
36,0,2.27525
38,0,2.27525
40,0,2.27525
42,0,2.27525
44,0,2.27525
46,0,2.27525
48,0,2.27525
50,0,2.27525
52,0,2.27525
54,0,2.27525
56,0,2.27525
58,0,2.27525
60,0,2.27525
62,0,2.27525
64,0,2.27525
66,0,2.27525
68,0,2.27525
70,0,2.27525
72,0,2.27525
74,0,2.27525
76,0,2.27525
78,0,2.27525
80,0,2.27525
82,0,2.27525
84,0,2.27525
86,0,2.27525
88,0,2.27525
90,0,2.27525
92,0,2.27525
94,0,2.27525
96,0,2.27525
98,0,2.27525
100,0,2.27525
102,0,2.27525
104,0,2.27525
106,0,2.27525
108,0,2.27525
110,0,2.27525
112,0,2.27525
114,0,2.27525
116,0,2.27525
118,0,2.27525
120,0,2.27525
122,0,2.27525
124,0,2.27525
126,0,2.27525
128,0,2.27525
130,0,2.27525
132,0,2.27525
134,0,2.27525
136,0,2.27525
138,0,2.27525
140,0,2.27525
142,0,2.27525
144,0,2.27525
146,0,2.27525
148,0,2.27525
150,0,2.27525
152,0,2.27525
154,0,2.27525
156,0,2.27525
158,0,2.27525
160,0,2.27525
162,0,2.27525
164,0,2.27525
166,0,2.27525
168,0,2.27525
170,0,2.27525
172,0,2.27525
174,0,2.27525
176,0,2.27525
178,0,2.27525
180,0,2.27525
-180,2,2.27668
-178,2,2.27704
-176,2,2.27737
-174,2,2.27769
-172,2,2.27798
-170,2,2.27825
-168,2,2.2785
-166,2,2.27873
-164,2,2.27894
-162,2,2.27912
-160,2,2.27929
-158,2,2.27943
-156,2,2.27955
-154,2,2.27966
-152,2,2.27975
-150,2,2.27981
-148,2,2.27987
-146,2,2.2799
-144,2,2.27992
-142,2,2.27993
-140,2,2.27993
-138,2,2.27991
-136,2,2.27988
-134,2,2.27984
-132,2,2.27979
-130,2,2.27973
-128,2,2.27967
-126,2,2.2796
-124,2,2.27953
-122,2,2.27945
-120,2,2.27937
-118,2,2.27929
-116,2,2.27921
-114,2,2.27913
-112,2,2.27905
-110,2,2.27897
-108,2,2.2789
-106,2,2.27882
-104,2,2.27876
-102,2,2.27869
-100,2,2.27863
-98,2,2.27858
-96,2,2.27853
-94,2,2.27849
-92,2,2.27845
-90,2,2.27842
-88,2,2.2784
-86,2,2.27838
-84,2,2.27837
-82,2,2.27836
-80,2,2.27836
-78,2,2.27836
-76,2,2.27837
-74,2,2.27838
-72,2,2.2784
-70,2,2.27842
-68,2,2.27844
-66,2,2.27847
-64,2,2.27849
-62,2,2.27851
-60,2,2.27854
-58,2,2.27856
-56,2,2.27858
-54,2,2.27859
-52,2,2.2786
-50,2,2.2786
-48,2,2.2786
-46,2,2.27859
-44,2,2.27857
-42,2,2.27853
-40,2,2.27849
-38,2,2.27844
-36,2,2.27837
-34,2,2.27829
-32,2,2.2782
-30,2,2.27809
-28,2,2.27797
-26,2,2.27782
-24,2,2.27766
-22,2,2.27749
-20,2,2.27729
-18,2,2.27708
-16,2,2.27684
-14,2,2.27659
-12,2,2.27632
-10,2,2.27602
-8,2,2.27571
-6,2,2.27538
-4,2,2.27503
-2,2,2.27466
0,2,2.27427
2,2,2.27387
4,2,2.27344
6,2,2.273
8,2,2.27255
10,2,2.27208
12,2,2.27159
14,2,2.27109
16,2,2.27058
18,2,2.27006
20,2,2.26953
22,2,2.26898
24,2,2.26844
26,2,2.26788
28,2,2.26733
30,2,2.26677
32,2,2.26621
34,2,2.26565
36,2,2.26509
38,2,2.26454
40,2,2.26399
42,2,2.26345
44,2,2.26291
46,2,2.26239
48,2,2.26188
50,2,2.26139
52,2,2.26091
54,2,2.26044
56,2,2.26
58,2,2.25958
60,2,2.25917
62,2,2.25879
64,2,2.25844
66,2,2.25811
68,2,2.2578
70,2,2.25753
72,2,2.25728
74,2,2.25706
76,2,2.25688
78,2,2.25672
80,2,2.2566
82,2,2.2565
84,2,2.25644
86,2,2.25642
88,2,2.25642
90,2,2.25646
92,2,2.25653
94,2,2.25664
96,2,2.25678
98,2,2.25695
100,2,2.25715
102,2,2.25738
104,2,2.25764
106,2,2.25793
108,2,2.25825
110,2,2.2586
112,2,2.25898
114,2,2.25938
116,2,2.2598
118,2,2.26025
120,2,2.26072
122,2,2.2612
124,2,2.26171
126,2,2.26223
128,2,2.26277
130,2,2.26332
132,2,2.26389
134,2,2.26446
136,2,2.26504
138,2,2.26563
140,2,2.26622
142,2,2.26682
144,2,2.26741
146,2,2.26801
148,2,2.26861
150,2,2.2692
152,2,2.26978
154,2,2.27036
156,2,2.27093
158,2,2.27149
160,2,2.27204
162,2,2.27258
164,2,2.27311
166,2,2.27361
168,2,2.27411
170,2,2.27458
172,2,2.27504
174,2,2.27548
176,2,2.2759
178,2,2.2763
180,2,2.27668
-180,4,2.2786
-178,4,2.27926
-176,4,2.27985
-174,4,2.28034
-172,4,2.28076
-170,4,2.2811
-168,4,2.28136
-166,4,2.28153
-164,4,2.28163
-162,4,2.28166
-160,4,2.28162
-158,4,2.2815
-156,4,2.28132
-154,4,2.28108
-152,4,2.28078
-150,4,2.28042
-148,4,2.28001
-146,4,2.27955
-144,4,2.27906
-142,4,2.27852
-140,4,2.27795
-138,4,2.27735
-136,4,2.27672
-134,4,2.27608
-132,4,2.27543
-130,4,2.27476
-128,4,2.27409
-126,4,2.27342
-124,4,2.27276
-122,4,2.2721
-120,4,2.27146
-118,4,2.27084
-116,4,2.27024
-114,4,2.26966
-112,4,2.26912
-110,4,2.26861
-108,4,2.26814
-106,4,2.2677
-104,4,2.26731
-102,4,2.26696
-100,4,2.26666
-98,4,2.26641
-96,4,2.26621
-94,4,2.26606
-92,4,2.26595
-90,4,2.26591
-88,4,2.26591
-86,4,2.26596
-84,4,2.26606
-82,4,2.26622
-80,4,2.26642
-78,4,2.26667
-76,4,2.26696
-74,4,2.26729
-72,4,2.26766
-70,4,2.26807
-68,4,2.26851
-66,4,2.26898
-64,4,2.26948
-62,4,2.27
-60,4,2.27053
-58,4,2.27108
-56,4,2.27164
-54,4,2.27221
-52,4,2.27277
-50,4,2.27333
-48,4,2.27389
-46,4,2.27442
-44,4,2.27494
-42,4,2.27544
-40,4,2.27591
-38,4,2.27634
-36,4,2.27674
-34,4,2.2771
-32,4,2.27741
-30,4,2.27768
-28,4,2.27789
-26,4,2.27804
-24,4,2.27813
-22,4,2.27816
-20,4,2.27813
-18,4,2.27802
-16,4,2.27785
-14,4,2.2776
-12,4,2.27728
-10,4,2.27688
-8,4,2.27641
-6,4,2.27586
-4,4,2.27524
-2,4,2.27453
0,4,2.27375
2,4,2.2729
4,4,2.27197
6,4,2.27098
8,4,2.26991
10,4,2.26877
12,4,2.26757
14,4,2.26631
16,4,2.26499
18,4,2.26362
20,4,2.26219
22,4,2.26072
24,4,2.25921
26,4,2.25767
28,4,2.25609
30,4,2.25449
32,4,2.25286
34,4,2.25123
36,4,2.24958
38,4,2.24793
40,4,2.24629
42,4,2.24465
44,4,2.24303
46,4,2.24143
48,4,2.23985
50,4,2.23831
52,4,2.23681
