"Freq [MHz]","dB(S(Port,Port)) []"
400,-4.61697647072148
401,-4.66711639451846
402,-4.71219900461363
403,-4.75183152819224
404,-4.78579692711648
405,-4.8140419800047
406,-4.83666128393921
407,-4.85387864822427
408,-4.86602725074578
409,-4.87352974414196
410,-4.87687926806065
411,-4.8766220764064
412,-4.87334224991463
413,-4.86764875241886
414,-4.86016491403643
415,-4.85152028981589
416,-4.84234474670919
417,-4.83326457015904
418,-4.82490034728615
419,-4.81786636896382
420,-4.81277129022965
421,-4.81021978997188
422,-4.81081496928292
423,-4.81516121573211
424,-4.82386722965619
425,-4.83754884815385
426,-4.85683119942762
427,-4.88234955621459
428,-4.91474800699179
429,-4.95467469235949
430,-5.00277181365214
431,-5.05965784831656
432,-5.12589832374686
433,-5.20196002244984
434,-5.28814154916182
435,-5.384470799971
436,-5.49055727431431
437,-5.60538511107195
438,-5.72703297909821
439,-5.8523131000373
440,-5.97634006056469
441,-6.0920799262746
442,-6.19000057574948
443,-6.25804305091586
444,-6.28222514468122
445,-6.24817827791658
446,-6.14367306397764
447,-5.96166008514742
448,-5.70277393609048
449,-5.37612582764497
450,-4.9978637846773
