Phi[deg],Theta[deg],dB(DirTotal)
-180,0,2.25414
-178,0,2.25414
-176,0,2.25414
-174,0,2.25414
-172,0,2.25414
-170,0,2.25414
-168,0,2.25414
-166,0,2.25414
-164,0,2.25414
-162,0,2.25414
-160,0,2.25414
-158,0,2.25414
-156,0,2.25414
-154,0,2.25414
-152,0,2.25414
-150,0,2.25414
-148,0,2.25414
-146,0,2.25414
-144,0,2.25414
-142,0,2.25414
-140,0,2.25414
-138,0,2.25414
-136,0,2.25414
-134,0,2.25414
-132,0,2.25414
-130,0,2.25414
-128,0,2.25414
-126,0,2.25414
-124,0,2.25414
-122,0,2.25414
-120,0,2.25414
-118,0,2.25414
-116,0,2.25414
-114,0,2.25414
-112,0,2.25414
-110,0,2.25414
-108,0,2.25414
-106,0,2.25414
-104,0,2.25414
-102,0,2.25414
-100,0,2.25414
-98,0,2.25414
-96,0,2.25414
-94,0,2.25414
-92,0,2.25414
-90,0,2.25414
-88,0,2.25414
-86,0,2.25414
-84,0,2.25414
-82,0,2.25414
-80,0,2.25414
-78,0,2.25414
-76,0,2.25414
-74,0,2.25414
-72,0,2.25414
-70,0,2.25414
-68,0,2.25414
-66,0,2.25414
-64,0,2.25414
-62,0,2.25414
-60,0,2.25414
-58,0,2.25414
-56,0,2.25414
-54,0,2.25414
-52,0,2.25414
-50,0,2.25414
-48,0,2.25414
-46,0,2.25414
-44,0,2.25414
-42,0,2.25414
-40,0,2.25414
-38,0,2.25414
-36,0,2.25414
-34,0,2.25414
-32,0,2.25414
-30,0,2.25414
-28,0,2.25414
-26,0,2.25414
-24,0,2.25414
-22,0,2.25414
-20,0,2.25414
-18,0,2.25414
-16,0,2.25414
-14,0,2.25414
-12,0,2.25414
-10,0,2.25414
-8,0,2.25414
-6,0,2.25414
-4,0,2.25414
-2,0,2.25414
0,0,2.25414
2,0,2.25414
4,0,2.25414
6,0,2.25414
8,0,2.25414
10,0,2.25414
12,0,2.25414
14,0,2.25414
16,0,2.25414
18,0,2.25414
20,0,2.25414
22,0,2.25414
24,0,2.25414
26,0,2.25414
28,0,2.25414
30,0,2.25414
32,0,2.25414
34,0,2.25414
36,0,2.25414
38,0,2.25414
40,0,2.25414
42,0,2.25414
44,0,2.25414
46,0,2.25414
48,0,2.25414
50,0,2.25414
52,0,2.25414
54,0,2.25414
56,0,2.25414
58,0,2.25414
60,0,2.25414
62,0,2.25414
64,0,2.25414
66,0,2.25414
68,0,2.25414
70,0,2.25414
72,0,2.25414
74,0,2.25414
76,0,2.25414
78,0,2.25414
80,0,2.25414
82,0,2.25414
84,0,2.25414
86,0,2.25414
88,0,2.25414
90,0,2.25414
92,0,2.25414
94,0,2.25414
96,0,2.25414
98,0,2.25414
100,0,2.25414
102,0,2.25414
104,0,2.25414
106,0,2.25414
108,0,2.25414
110,0,2.25414
112,0,2.25414
114,0,2.25414
116,0,2.25414
118,0,2.25414
120,0,2.25414
122,0,2.25414
124,0,2.25414
126,0,2.25414
128,0,2.25414
130,0,2.25414
132,0,2.25414
134,0,2.25414
136,0,2.25414
138,0,2.25414
140,0,2.25414
142,0,2.25414
144,0,2.25414
146,0,2.25414
148,0,2.25414
150,0,2.25414
152,0,2.25414
154,0,2.25414
156,0,2.25414
158,0,2.25414
160,0,2.25414
162,0,2.25414
164,0,2.25414
166,0,2.25414
168,0,2.25414
170,0,2.25414
172,0,2.25414
174,0,2.25414
176,0,2.25414
178,0,2.25414
180,0,2.25414
-180,2,2.25321
-178,2,2.25317
-176,2,2.2531
-174,2,2.25302
-172,2,2.25291
-170,2,2.25279
-168,2,2.25265
-166,2,2.25249
-164,2,2.25232
-162,2,2.25213
-160,2,2.25192
-158,2,2.2517
-156,2,2.25147
-154,2,2.25122
-152,2,2.25096
-150,2,2.2507
-148,2,2.25042
-146,2,2.25013
-144,2,2.24984
-142,2,2.24955
-140,2,2.24925
-138,2,2.24895
-136,2,2.24864
-134,2,2.24834
-132,2,2.24804
-130,2,2.24775
-128,2,2.24746
-126,2,2.24717
-124,2,2.24689
-122,2,2.24662
-120,2,2.24637
-118,2,2.24612
-116,2,2.24589
-114,2,2.24567
-112,2,2.24546
-110,2,2.24527
-108,2,2.2451
-106,2,2.24494
-104,2,2.24481
-102,2,2.24469
-100,2,2.24459
-98,2,2.24452
-96,2,2.24446
-94,2,2.24443
-92,2,2.24441
-90,2,2.24442
-88,2,2.24445
-86,2,2.2445
-84,2,2.24457
-82,2,2.24466
-80,2,2.24478
-78,2,2.24491
-76,2,2.24506
-74,2,2.24523
-72,2,2.24542
-70,2,2.24563
-68,2,2.24586
-66,2,2.24609
-64,2,2.24635
-62,2,2.24661
-60,2,2.24689
-58,2,2.24718
-56,2,2.24748
-54,2,2.24779
-52,2,2.2481
-50,2,2.24842
