"Freq [MHz]","dB(S(Port,Port)) []"
400,-12.477237926041
401,-12.5553094438084
402,-12.6398491124451
403,-12.7306582687207
404,-12.8274710483318
405,-12.9299402640504
406,-13.0376209052609
407,-13.1499511275182
408,-13.2662307171288
409,-13.3855972095394
410,-13.507000139131
411,-13.6291743318128
412,-13.7506137472652
413,-13.8695481474815
414,-13.9839257934928
415,-14.091406377459
416,-14.1893693212568
417,-14.2749431431505
418,-14.345061426625
419,-14.3965495723995
420,-14.4262435922494
421,-14.4311376015936
422,-14.4085507959335
423,-14.3562986419564
424,-14.2728484521507
425,-14.1574382477224
426,-14.0101410420481
427,-13.8318642730063
428,-13.6242844110912
429,-13.3897270619334
430,-13.1310104601434
431,-12.8512734567846
432,-12.5538078197358
433,-12.241910093069
434,-11.9187622049531
435,-11.587344146159
436,-11.2503774475291
437,-10.9102952708497
438,-10.5692335815941
439,-10.2290377094515
440,-9.89127917588052
441,-9.5572785931397
442,-9.22813144474047
443,-8.9047344821331
444,-8.58781124162364
445,-8.27793578036474
446,-7.9755541635565
447,-7.68100353349052
448,-7.39452878475555
449,-7.11629698642477
450,-6.84640975430796
