Phi[deg],Theta[deg],rETotal[mV]
-180,0,5819.9
-178,0,5819.9
-176,0,5819.9
-174,0,5819.9
-172,0,5819.9
-170,0,5819.9
-168,0,5819.9
-166,0,5819.9
-164,0,5819.9
-162,0,5819.9
-160,0,5819.9
-158,0,5819.9
-156,0,5819.9
-154,0,5819.9
-152,0,5819.9
-150,0,5819.9
-148,0,5819.9
-146,0,5819.9
-144,0,5819.9
-142,0,5819.9
-140,0,5819.9
-138,0,5819.9
-136,0,5819.9
-134,0,5819.9
-132,0,5819.9
-130,0,5819.9
-128,0,5819.9
-126,0,5819.9
-124,0,5819.9
-122,0,5819.9
-120,0,5819.9
-118,0,5819.9
-116,0,5819.9
-114,0,5819.9
-112,0,5819.9
-110,0,5819.9
-108,0,5819.9
-106,0,5819.9
-104,0,5819.9
-102,0,5819.9
-100,0,5819.9
-98,0,5819.9
-96,0,5819.9
-94,0,5819.9
-92,0,5819.9
-90,0,5819.9
-88,0,5819.9
-86,0,5819.9
-84,0,5819.9
-82,0,5819.9
-80,0,5819.9
-78,0,5819.9
-76,0,5819.9
-74,0,5819.9
-72,0,5819.9
-70,0,5819.9
-68,0,5819.9
-66,0,5819.9
-64,0,5819.9
-62,0,5819.9
-60,0,5819.9
-58,0,5819.9
-56,0,5819.9
-54,0,5819.9
-52,0,5819.9
-50,0,5819.9
-48,0,5819.9
-46,0,5819.9
-44,0,5819.9
-42,0,5819.9
-40,0,5819.9
-38,0,5819.9
-36,0,5819.9
-34,0,5819.9
-32,0,5819.9
-30,0,5819.9
-28,0,5819.9
-26,0,5819.9
-24,0,5819.9
-22,0,5819.9
-20,0,5819.9
-18,0,5819.9
-16,0,5819.9
-14,0,5819.9
-12,0,5819.9
-10,0,5819.9
-8,0,5819.9
-6,0,5819.9
-4,0,5819.9
-2,0,5819.9
0,0,5819.9
2,0,5819.9
4,0,5819.9
6,0,5819.9
8,0,5819.9
10,0,5819.9
12,0,5819.9
14,0,5819.9
16,0,5819.9
18,0,5819.9
20,0,5819.9
22,0,5819.9
24,0,5819.9
26,0,5819.9
28,0,5819.9
30,0,5819.9
32,0,5819.9
34,0,5819.9
36,0,5819.9
38,0,5819.9
40,0,5819.9
42,0,5819.9
44,0,5819.9
46,0,5819.9
48,0,5819.9
50,0,5819.9
52,0,5819.9
54,0,5819.9
56,0,5819.9
58,0,5819.9
60,0,5819.9
62,0,5819.9
64,0,5819.9
66,0,5819.9
68,0,5819.9
70,0,5819.9
72,0,5819.9
74,0,5819.9
76,0,5819.9
78,0,5819.9
80,0,5819.9
82,0,5819.9
84,0,5819.9
86,0,5819.9
88,0,5819.9
90,0,5819.9
92,0,5819.9
94,0,5819.9
96,0,5819.9
98,0,5819.9
100,0,5819.9
102,0,5819.9
104,0,5819.9
106,0,5819.9
108,0,5819.9
110,0,5819.9
112,0,5819.9
114,0,5819.9
116,0,5819.9
118,0,5819.9
120,0,5819.9
122,0,5819.9
124,0,5819.9
126,0,5819.9
128,0,5819.9
130,0,5819.9
132,0,5819.9
134,0,5819.9
136,0,5819.9
138,0,5819.9
140,0,5819.9
142,0,5819.9
144,0,5819.9
146,0,5819.9
148,0,5819.9
150,0,5819.9
152,0,5819.9
154,0,5819.9
156,0,5819.9
158,0,5819.9
160,0,5819.9
162,0,5819.9
164,0,5819.9
166,0,5819.9
168,0,5819.9
170,0,5819.9
172,0,5819.9
174,0,5819.9
176,0,5819.9
178,0,5819.9
180,0,5819.9
-180,2,5819.58
-178,2,5819.52
-176,2,5819.38
-174,2,5819.17
-172,2,5818.88
-170,2,5818.52
-168,2,5818.09
-166,2,5817.58
-164,2,5817.01
-162,2,5816.37
-160,2,5815.66
-158,2,5814.9
-156,2,5814.08
-154,2,5813.22
-152,2,5812.3
-150,2,5811.34
-148,2,5810.34
-146,2,5809.31
-144,2,5808.25
-142,2,5807.17
-140,2,5806.07
-138,2,5804.95
-136,2,5803.83
-134,2,5802.7
-132,2,5801.58
-130,2,5800.47
-128,2,5799.37
-126,2,5798.29
-124,2,5797.23
-122,2,5796.21
-120,2,5795.22
-118,2,5794.26
-116,2,5793.35
-114,2,5792.49
-112,2,5791.69
-110,2,5790.94
-108,2,5790.24
-106,2,5789.62
-104,2,5789.05
-102,2,5788.56
-100,2,5788.14
-98,2,5787.79
-96,2,5787.52
-94,2,5787.32
-92,2,5787.2
-90,2,5787.16
-88,2,5787.19
-86,2,5787.31
-84,2,5787.5
-82,2,5787.77
-80,2,5788.11
-78,2,5788.53
-76,2,5789.01
-74,2,5789.57
-72,2,5790.19
-70,2,5790.88
